iter	Passed	Remaining
0	147	147630
1	149	74444
2	150	49985
3	151	37716
4	152	30356
5	153	25460
6	154	21949
7	155	19342
8	157	17308
9	158	15690
10	159	14367
11	161	13270
12	162	12349
13	163	11541
14	164	10834
15	166	10219
16	167	9668
17	168	9181
18	169	8744
19	170	8353
20	171	8000
21	172	7681
22	174	7407
23	175	7147
24	177	6908
25	178	6673
26	179	6454
27	180	6251
28	181	6066
29	182	5889
30	183	5723
31	184	5570
32	185	5428
33	186	5291
34	187	5167
35	188	5049
36	189	4937
37	190	4831
38	191	4729
39	193	4636
40	194	4552
41	195	4467
42	196	4381
43	197	4298
44	198	4219
45	199	4144
46	200	4074
47	202	4009
48	203	3944
49	204	3883
50	205	3826
51	206	3772
52	208	3721
53	209	3668
54	210	3616
55	211	3570
56	212	3523
57	213	3475
58	215	3431
59	216	3385
60	217	3342
61	218	3303
62	219	3266
63	220	3229
64	221	3191
65	222	3153
66	223	3116
67	224	3080
68	225	3045
69	226	3011
70	228	2984
71	229	2958
72	230	2933
73	232	2913
74	234	2889
75	235	2865
76	237	2843
77	239	2825
78	240	2806
79	242	2788
80	244	2769
81	245	2750
82	246	2724
83	248	2707
84	249	2688
85	251	2668
86	252	2651
87	253	2631
88	255	2611
89	256	2590
90	257	2570
91	258	2550
92	259	2530
93	260	2510
94	261	2493
95	263	2476
96	264	2460
97	265	2446
98	266	2428
99	268	2413
100	269	2397
101	270	2384
102	272	2370
103	273	2356
104	274	2343
105	276	2328
106	277	2316
107	278	2302
108	279	2288
109	281	2276
110	282	2262
111	283	2249
112	284	2234
113	285	2220
114	286	2207
115	287	2193
116	288	2179
117	289	2166
118	291	2156
119	292	2147
120	293	2135
121	294	2121
122	296	2110
123	297	2098
124	298	2088
125	299	2075
126	300	2064
127	301	2053
128	302	2042
129	303	2031
130	304	2019
131	305	2008
132	306	1998
133	307	1989
134	309	1980
135	310	1970
136	311	1959
137	311	1948
138	312	1938
139	313	1928
140	314	1918
141	315	1907
142	316	1898
143	317	1889
144	319	1881
145	320	1872
146	321	1864
147	322	1857
148	323	1848
149	324	1839
150	325	1830
151	326	1822
152	327	1814
153	328	1807
154	330	1799
155	331	1791
156	332	1782
157	332	1774
158	333	1766
159	334	1758
160	335	1749
161	336	1742
162	337	1735
163	338	1727
164	340	1721
165	341	1714
166	342	1707
167	343	1699
168	344	1692
169	345	1685
170	346	1678
171	347	1671
172	348	1664
173	349	1657
174	350	1650
175	351	1643
176	352	1638
177	353	1632
178	354	1626
179	355	1620
180	356	1613
181	357	1607
182	358	1600
183	359	1594
184	360	1588
185	361	1583
186	363	1578
187	364	1572
188	365	1566
189	366	1561
190	367	1556
191	368	1552
192	370	1547
193	371	1542
194	372	1538
195	374	1534
196	375	1530
197	376	1525
198	377	1519
199	378	1514
200	379	1508
201	380	1503
202	381	1499
203	383	1495
204	384	1491
205	385	1486
206	386	1482
207	387	1477
208	388	1471
209	389	1466
210	390	1461
211	391	1456
212	392	1451
213	393	1446
214	394	1441
215	395	1437
216	397	1433
217	398	1429
218	399	1424
219	400	1419
220	401	1414
221	402	1409
222	403	1404
223	404	1400
224	405	1395
225	406	1391
